artist_count,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
1,158,4,137123880,134,G,Major,70,35,41,41,10
1,7613,33,782369383,130,G,Major,92,78,62,18,6
1,3956,6,502574952,145,A#,Major,84,88,53,35,8
3,1638,10,207033255,130,B,Minor,69,36,90,1,15
1,924,18,404887295,173,,Major,59,69,53,12,23
1,1985,35,381161027,92,B,Minor,75,55,76,25,10
1,6339,13,466231982,105,F,Minor,56,57,87,0,10
1,1561,24,357580552,175,G,Minor,59,15,64,43,12
2,875,4,61105704,120,G,Minor,80,33,70,22,9
2,406,5,198275403,139,D#,Minor,70,77,48,37,12
1,340,13,168448603,132,,Minor,59,56,82,12,12
2,4188,15,705469769,114,A#,Major,32,17,74,14,17
2,105,0,34502215,145,B,Minor,54,19,48,36,37
1,1524,17,482175240,110,,Major,82,67,69,0,18
2,2651,30,304118600,94,G#,Major,89,61,66,17,36
1,11087,6,1449799467,134,C#,Major,45,17,60,21,33
1,373,19,173627354,120,G,Major,62,32,76,0,39
2,200,4,90025258,123,G,Minor,70,86,68,24,11
2,3741,17,652704649,131,A#,Major,77,84,71,35,15
1,32502,21,1829992958,171,D,Major,70,6,73,1,36
2,7615,14,655466831,130,E,Minor,80,64,76,2,20
3,1208,34,146409671,94,B,Major,82,53,67,34,9
2,209,4,95816024,89,G,Minor,73,44,57,39,32
1,1235,9,117206995,87,F,Minor,65,71,56,4,15
2,654,3,100409613,124,B,Minor,72,79,78,55,15
2,1479,0,80758350,78,G#,Major,71,80,65,51,22
2,4942,26,325592432,120,G#,Major,70,70,79,7,18
2,709,0,58473276,96,F#,Minor,48,50,80,40,37
1,660,0,52722996,106,G,Major,73,22,86,31,12
1,489,17,191945597,170,D,Minor,78,75,46,62,12
2,407,0,77377503,134,B,Minor,67,11,76,8,30
1,7461,8,743693613,115,A#,Major,71,90,73,30,11
1,993,4,267789608,130,F#,Major,74,79,87,45,30
2,9161,5,1221813483,118,,Major,65,63,79,3,10
1,3282,12,449701773,110,G,Major,59,22,38,42,12
1,596,0,67070410,100,A,Major,72,42,66,18,19
2,320,6,116334601,142,G,Minor,70,76,79,26,11
1,2612,4,433356509,140,,Major,64,18,37,72,12
1,2040,4,165584767,116,G,Major,90,96,73,62,9
1,2128,9,367814306,120,A,Major,73,64,85,25,61
2,2598,37,477033549,92,F,Minor,76,46,79,31,7
1,542,2,156214700,110,G#,Minor,81,64,79,5,31
1,2459,20,448843705,120,A#,Major,71,57,97,1,13
2,10624,17,1357608774,80,G#,Major,63,40,61,9,56
2,2418,26,294352144,115,F,Minor,95,43,69,47,9
1,7536,7,972164968,76,A#,Major,58,46,67,65,13
1,10431,7,920045682,172,F#,Major,60,77,78,45,12
1,15722,16,2420461338,99,A#,Major,40,45,56,69,9
1,25744,4,1947371785,136,,Minor,36,12,57,9,14
1,1640,0,244658767,150,G#,Minor,90,64,14,67,11
1,34,0,68216992,92,A#,Minor,71,41,31,79,10
5,1845,16,223582566,95,C#,Major,77,72,87,17,7
3,3301,30,471819764,102,B,Minor,83,58,83,21,10
1,1911,0,272377463,145,,Minor,70,34,55,43,16
1,20111,5,1361425037,110,A,Major,50,24,86,0,64
2,1529,0,149778242,95,,Major,64,30,77,46,38
2,615,2,116599790,94,B,Minor,68,81,82,53,9
1,811,4,148469433,142,G,Major,61,92,91,0,26
