released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
1,27,1838,0,124988687,170,56,56,63,13,19
1,27,1890,0,103787664,115,70,84,90,17,41
1,27,2098,16,134255790,122,64,25,89,0,15
10,17,761,12,301051721,105,88,82,80,8,11
11,30,1225,0,156338624,133,66,74,84,25,21
1,13,415,2,152850295,100,79,60,68,7,26
10,28,3469,0,309653982,120,82,55,45,15,9
10,28,3311,0,297328960,177,25,17,30,90,13
9,22,2616,0,332506354,142,64,31,72,15,9
11,4,3006,16,480507035,144,57,47,84,1,52
4,12,4260,0,1065580332,120,65,80,86,9,19
9,27,482,0,122763672,135,92,73,51,55,15
2,9,4013,10,445763624,107,81,82,78,38,12
12,22,138,4,1365184,105,82,62,74,10,33
11,25,1368,0,184308753,108,44,38,77,9,9
1,1,17852,4,789753877,147,51,62,79,22,14
11,20,889,20,323358833,115,71,34,88,16,44
4,21,4796,9,606361689,174,70,57,64,23,8
1,12,658,6,120972253,90,68,83,71,3,31
7,21,3009,2,338564981,141,41,9,25,84,14
1,1,17492,3,1606986953,82,68,50,49,56,8
3,20,6170,7,1301799902,92,47,25,43,62,32
12,12,130,4,140187018,116,77,65,80,6,15
6,2,27705,10,1897517891,124,79,59,86,4,8
1,27,359,0,107642809,125,71,83,89,1,17
8,19,1963,16,551305895,90,80,71,69,2,27
4,27,5491,14,556585270,83,46,34,64,31,7
10,31,27119,0,2303033973,124,79,68,79,1,10
8,8,1776,14,646886885,140,58,4,60,7,8
9,16,1473,4,222612678,154,64,61,91,15,72
7,23,13315,0,1814349763,150,74,89,70,2,5
1,10,4057,8,872137015,186,41,9,61,2,12
4,22,3045,6,571386359,166,40,23,48,5,12
9,22,3006,12,304079786,107,87,20,83,0,31
9,9,852,0,174006928,87,87,52,52,31,28
8,5,2163,15,284785823,82,40,39,64,21,7
12,9,1484,0,163284000,114,46,60,28,91,21
11,4,1703,0,246390068,148,47,15,52,38,29
7,20,4169,44,482257456,140,91,97,57,38,40
